PRICE	GBA
1095000	2522
	2567
2100000	2522
1602000	2484
	5255
1950000	5344
	1260
1050000	2401
1430000	1488
	1590
	2748
	3100
	3119
	3044
1325000	2692
	1662
1240000	1662
	1542
	1542
592250	1598
33232	3465
	2912
907400	1790
1065000	1600
1100000	1958
20000	2099
	2478
703700	2520
	3610
1210000	2520
	2592
	2592
130500	2568
	2600
	4208
	2449
	2520
339500	2520
	2520
	2520
1050000	2504
1550000	2552
1599900	2520
1700000	2382
1700000	2520
450000	2520
846000	2610
	2700
348500	2700
	2700
849000	2700
	1468
1312000	1468
	1468
390000	2196
772500	1440
	4618
	2081
499000	1104
216000	1104
	2086
636090	1389
1599000	3162
	3190
	1916
380000	2192
1295000	2751
	1392
1255000	2196
463000	2118
990000	2151
682500	884
993500	1148
745000	1222
	1380
	1380
848500	1380
277000	1380
1155000	1380
	1380
	1380
1363000	1380
1148000	1380
	1380
	1608
900000	1410
1440000	2668
	1627
	1344
872000	1382
1500000	3582
1925000	2920
360000	1652
	3368
	3524
	2930
1280000	1630
770000	3344
1560000	2520
1351830	2556
	3824
750000	3287
2675000	6140
1844970	3902
	3756
2350000	3440
1680000	2556
	4488
	3368
	4864
	3352
	2632
2834050	3263
	3670
1495000	2940
2150000	2744
1945000	3032
1805000	3016
2150000	2304
1625000	2500
	2520
	4028
	2704
1450000	2880
1905000	2584
	2848
	2576
1865000	3254
	4036
860000	1614
890000	1590
1345000	1590
282777	1542
715000	1854
1315000	1566
1440000	1686
229161	1566
1060000	2548
1925000	2631
	2401
979000	2443
	2407
1737000	2428
	2537
	2544
	2401
865000	918
	918
795000	918
950000	918
799000	970
1050000	1440
1100000	1440
1330000	1780
2279000	4352
	1602
200000	1505
650000	1281
660000	1530
	1218
830000	1335
635000	1170
	1200
673500	1350
	1350
317000	2116
	2404
	2404
	1310
350000	3036
	2310
	1968
1048500	1900
2020000	1949
	2224
127000	2008
	1950
990000	1707
	2864
	1740
820000	1512
822500	2622
	1350
705500	1350
900000	1455
250000	1488
140000	1268
	1460
	988
	2925
450000	2526
2000000	2112
	1998
	2160
1410000	2397
	2184
	2748
349000	2042
	2620
	3456
	3012
371000	2867
1700000	2862
	2853
1255000	3078
501000	3481
	2790
	2688
1550000	2790
1430000	4023
	2313
	2037
1510000	2037
1050000	2037
	2037
910000	2760
	3465
	3198
1210000	1624
580000	1624
890000	1630
170000	1696
550000	1634
	1696
890000	1558
1120000	1464
834000	1492
905000	1454
	1020
	1396
	1152
255000	1152
	1152
	3945
1065000	2220
900000	1728
915000	1152
250000	1152
2000000	4538
	3846
	3028
2050000	3420
	3032
1690000	2656
1735000	3408
1575000	3100
2295000	2608
	2692
	3256
	2840
4100000	6560
	3256
1800000	2672
536500	3524
1670000	2608
289000	2016
360000	2016
	1024
	1024
	792
	840
340000	872
	1494
625000	1528
271000	1208
	1024
	1048
375000	894
1080000	1494
550000	716
	624
495000	702
	758
625000	834
485000	936
899000	900
	1350
210000	1350
490500	1530
778000	1350
450000	1350
	1330
875000	1350
	900
	900
680000	1350
265000	900
675000	1350
	900
70000	900
880000	1350
575000	1200
1050000	1788
	1854
	1800
970000	1728
380000	1728
517000	1728
	1728
1110000	1728
	1728
300000	1184
746500	1184
	1184
785000	1184
	1192
555000	1192
760000	1192
755000	1192
	1192
800000	1413
	1680
203600	3150
825000	3030
	3596
878750	3533
447500	3372
289000	696
	960
	1620
800000	1620
825000	1665
775000	3893
	1744
	1536
1049900	1824
715000	1532
1175000	1912
175145	1496
655000	2122
	2118
165000	2118
665000	2118
	2264
	1992
215000	2650
	1460
	1322
141000	1476
825000	1422
928000	1322
700000	1322
870000	1348
816800	1851
	2118
	2091
325000	1818
	4282
1050000	4458
	3370
	2776
	2670
	2803
375500	2332
1500000	2460
1600000	2332
1250000	2716
1890000	2598
	2657
290000	2290
2210555	2312
1400000	2474
393000	2726
	2384
	2522
	3060
	2600
	2549
1525000	2539
1250000	2483
1395000	2903
	1858
	3036
1715000	3180
1875000	3407
	3056
950000	4926
	3012
305000	3000
	2976
1278460	3000
	4242
	2105
	1767
599100	1162
548000	1960
606500	1976
	1560
	1200
801000	1200
852500	1200
	756
	1200
1275000	1778
1060000	1200
310000	1262
360000	1260
825000	1308
875000	1206
	2292
	1200
